budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,tsne_x,tsne_y
0.19736715373761116,0.02194549528245856,0.8831168831168839,0.09263746135282934,0.37671232876712324,Wanted,0.631578947368421,0.21027313493681205,7.434129,2.9711356
0.09736699584262501,0.010529059689822906,0.8831168831168839,0.022884197975611163,0.17808219178082196,Space Chimps,0.40350877192982454,0.007990216061964941,-26.420515,7.2153163
0.024642670488427085,0.006789551909115697,0.8571428571428577,0.0,0.8904109589041096,Hogfather,0.7192982456140351,0.003016714227476559,-0.31963256,-8.875408
0.3815779709125856,0.02522193976475715,0.8831168831168839,0.14387864499108055,0.3904109589041096,The Mummy: Tomb of the Dragon Emperor,0.4210526315789474,0.11528740317977985,3.315103,14.8512745
0.21142243908806171,0.02086625975427797,0.8831168831168839,0.045845125391270725,0.6506849315068493,Red Cliff,0.7543859649122806,0.016551161842641663,-1.4977367,-6.2538505
0.11841966066262209,0.0239053941675332,0.8831168831168839,0.02645747478831323,0.34246575342465757,Death Race,0.5614035087719298,0.09792091316754993,-9.289519,1.7218561
0.3947358864250838,0.0223309127780631,0.8831168831168839,0.21660972614611512,0.23287671232876717,Madagascar: Escape 2 Africa,0.5964912280701755,0.15181410517733385,12.685896,11.718596
0.5263150415500656,0.024176107927091895,0.8831168831168839,0.21022168811685696,0.34931506849315075,Quantum of Solace,0.5789473684210524,0.24549531186302484,9.8569765,13.441106
0.09736699584262501,0.05635667642138033,0.8831168831168839,0.14082551708797636,0.45890410958904115,Twilight,0.5263157894736841,0.3003668976763147,2.3519592,3.6585844
0.07894591412512757,0.01616694382486029,0.8831168831168839,0.03908928038882576,0.3356164383561644,Transporter 3,0.5438596491228072,0.09017529555646148,-10.115171,1.2114472
0.10526174515012392,0.012883944007685763,0.8961038961038987,0.0,0.5205479452054794,Che: Part Two,0.6842105263157894,0.012311455360782715,-3.941359,-6.008044
0.15789340720011663,0.016958344214104595,0.8831168831168839,0.08754857696681048,0.410958904109589,Marley & Me,0.7192982456140351,0.11316754993885038,4.1973248,-2.0224056
0.030828938150954974,0.010148014854849494,0.8831168831168839,0.007851101902984483,0.363013698630137,Ip Man,0.8245614035087718,0.10640032613126783,-9.515059,-12.04437
0.039472167587633035,0.008761680350888612,0.8961038961038987,0.03613198689959061,0.31506849315068497,My Bloody Valentine,0.43859649122807015,0.024378312270688953,-23.586023,5.6104193
0.06841958171512902,0.022942187701049617,0.8961038961038987,0.06574441403684622,0.2465753424657534,Paul Blart: Mall Cop,0.4210526315789474,0.06547085201793722,-21.877384,6.0413833
0.013156336562636676,0.01838552799668725,0.8961038961038987,0.013848813667012754,0.23972602739726034,The Grudge 3,0.43859649122807015,0.011903791275988587,-24.638931,3.504964
0.049998499997631576,0.025134309232702552,0.8961038961038987,0.032776253700626055,0.28767123287671237,Friday the 13th,0.5087719298245614,0.04582144313086017,-19.157578,0.39240086
0.022366877421385403,0.014808132221594363,0.8831168831168839,0.0032054429381740677,0.29452054794520555,Ong Bak 2,0.5438596491228072,0.01239298817774154,-16.752089,-2.901583
0.03420900138263376,0.017194049268083517,0.8961038961038987,0.037427183893569325,0.6643835616438356,The Girl with the Dragon Tattoo,0.8070175438596492,0.08283734203016714,-1.8102008,-8.021691
0.2236829847626075,0.0019120665112977962,0.8961038961038987,0.1302614106228942,0.3561643835616438,Fast & Furious,0.6491228070175439,0.1974724826742764,7.8978353,3.482359
0.05263008310013121,0.017533981587340302,0.8961038961038987,0.012396344976180829,0.2808219178082192,Crank: High Voltage,0.5438596491228072,0.07125968202201385,-17.895124,-1.260345
0.3947358864250838,0.0018346291045271438,0.8961038961038987,0.13381188514144401,0.3561643835616438,X-Men Origins: Wolverine,0.5964912280701755,0.33281695882592743,15.686606,4.1834116
0.21052506925010933,0.012534781937790772,0.8961038961038987,0.04342207352756566,0.5547945205479452,Red Cliff Part II,0.7543859649122806,0.008642478597635549,-1.6946696,-5.9676824
0.5263150415500656,0.029348307360984437,0.8961038961038987,0.13319858370235035,0.410958904109589,Terminator Salvation,0.5438596491228072,0.20317977986139418,8.156063,13.15477
